Match,Map 1,Map 2,Map 3
Match 1,ATAL'DAZAR,TEMPLE OF SETHRALISS,TOL DAGOR
Match 2,THE MOTHERLODE!!,ATAL'DAZAR,TOL DAGOR
Match 3,KINGS' REST,THE MOTHERLODE!!,WAYCREST MANOR
Match 4,TEMPLE OF SETHRALISS,KINGS' REST,WAYCREST MANOR
Match 5,THE UNDERROT,KINGS' REST,WAYCREST MANOR
Match 6,ATAL'DAZAR,THE UNDERROT,TOL DAGOR
Match 7,SHRINE OF THE STORM,WAYCREST MANOR,KINGS' REST
Match 8,SHRINE OF THE STORM,TOL DAGOR,TEMPLE OF SETHRALISS
Match 9,FREEHOLD,ATAL'DAZAR,TEMPLE OF SETHRALISS
Match 10,THE MOTHERLODE!!,FREEHOLD,THE UNDERROT
Match 11,SHRINE OF THE STORM,THE MOTHERLODE!!,FREEHOLD
Match 12,TOL DAGOR,WAYCREST MANOR,SHRINE OF THE STORM
Match 13,THE UNDERROT,KINGS' REST,ATAL'DAZAR
Match 14,TEMPLE OF SETHRALISS,WAYCREST MANOR,TOL DAGOR
