MATCH,MAP 1,MAP 2,MAP 3
MATCH 1,THE MOTHERLODE!!,TOL DAGOR,FREEHOLD
MATCH 2,THE UNDERROT,THE MOTHERLODE!!,FREEHOLD
MATCH 3,SHRINE OF THE STORM,THE UNDERROT,ATAL'DAZAR
MATCH 4,TOL DAGOR,SHRINE OF THE STORM,ATAL'DAZAR
MATCH 5,KINGS' REST,ATAL'DAZAR,SHRINE OF THE STORM
MATCH 6,KINGS' REST,FREEHOLD,TOL DAGOR
MATCH 7,WAYCREST MANOR,SHRINE OF THE STORM,ATAL'DAZAR
MATCH 8,THE MOTHERLODE!!,WAYCREST MANOR,FREEHOLD
MATCH 9,SHRINE OF THE STORM,THE MOTHERLODE!!,TOL DAGOR
MATCH 10,THE UNDERROT,TOL DAGOR,WAYCREST MANOR
MATCH 11,THE MOTHERLODE!!,THE UNDERROT,KINGS' REST
MATCH 12,FREEHOLD,ATAL'DAZAR,KINGS' REST
MATCH 13,WAYCREST MANOR,SHRINE OF THE STORM,THE MOTHERLODE!!
MATCH 14,TOL DAGOR,ATAL'DAZAR,FREEHOLD
