MATCH,MAP 1,MAP 2,MAP 3
MATCH 1,FREEHOLD,WAYCREST MANOR,THE UNDERROT
MATCH 2,SHRINE OF THE STORM,FREEHOLD,THE UNDERROT
MATCH 3,ATAL'DAZAR,SHRINE OF THE STORM,THE MOTHERLODE!!
MATCH 4,WAYCREST MANOR,ATAL'DAZAR,THE MOTHERLODE!!
MATCH 5,KINGS' REST,THE MOTHERLODE!!,ATAL'DAZAR
MATCH 6,KINGS' REST,THE UNDERROT,WAYCREST MANOR
MATCH 7,TOL DAGOR,ATAL'DAZAR,THE MOTHERLODE!!
MATCH 8,FREEHOLD,TOL DAGOR,THE UNDERROT
MATCH 9,ATAL'DAZAR,FREEHOLD,WAYCREST MANOR
MATCH 10,SHRINE OF THE STORM,WAYCREST MANOR,TOL DAGOR
MATCH 11,FREEHOLD,SHRINE OF THE STORM,KINGS' REST
MATCH 12,THE UNDERROT,THE MOTHERLODE!!,KINGS' REST
MATCH 13,TOL DAGOR,ATAL'DAZAR,FREEHOLD
MATCH 14,WAYCREST MANOR,THE MOTHERLODE!!,THE UNDERROT
