Match,Map 1,Map 2,Map 3
Match 1,FREEHOLD,THE UNDERROT,TEMPLE OF SETHRALISS
Match 2,ATAL'DAZAR,FREEHOLD,TEMPLE OF SETHRALISS
Match 3,SHRINE OF THE STORM,ATAL'DAZAR,THE MOTHERLODE!!
Match 4,THE UNDERROT,SHRINE OF THE STORM,THE MOTHERLODE!!
Match 5,KINGS' REST,SHRINE OF THE STORM,THE MOTHERLODE!!
Match 6,FREEHOLD,KINGS' REST,TEMPLE OF SETHRALISS
Match 7,TOL DAGOR,THE MOTHERLODE!!,SHRINE OF THE STORM
Match 8,TOL DAGOR,TEMPLE OF SETHRALISS,THE UNDERROT
Match 9,WAYCREST MANOR,FREEHOLD,THE UNDERROT
Match 10,ATAL'DAZAR,WAYCREST MANOR,KINGS' REST
Match 11,TOL DAGOR,ATAL'DAZAR,WAYCREST MANOR
Match 12,TEMPLE OF SETHRALISS,THE MOTHERLODE!!,TOL DAGOR
Match 13,KINGS' REST,SHRINE OF THE STORM,FREEHOLD
Match 14,THE UNDERROT,THE MOTHERLODE!!,TEMPLE OF SETHRALISS
